name,merge_gap_min,silence_threshold_h,episodes,eligible_days,blocked_pct,added_clear_minutes
Leeland Street,1,6,28463,1182.878388888889,13.911481038413726,1318.4700000010198
Leeland Street,1,12,28463,1206.7697986111111,13.636064058543838,1318.4700000010198
Leeland Street,1,24,28463,1208.734,13.613905356990998,1318.4700000010198
Leeland Street,1,48,28463,1211.7310625,13.580233095474647,1318.4700000010198
Leeland Street,1,inf,28463,1313.3877083333334,12.529118533215923,1318.4700000010198
Leeland Street,2,6,26797,1182.878388888889,14.053678900305368,3740.5900000017427
Leeland Street,2,12,26797,1206.7697986111111,13.775446712941898,3740.5900000017427
Leeland Street,2,24,26797,1208.734,13.753061513579487,3740.5900000017427
Leeland Street,2,48,26797,1211.7310625,13.719045067027805,3740.5900000017427
Leeland Street,2,inf,26797,1313.3877083333334,12.65718641196231,3740.5900000017427
Leeland Street,5,6,23380,1182.878388888889,14.728515812956978,15235.390000003012
Leeland Street,5,12,23380,1206.7697986111111,14.43692332672425,15235.390000003012
Leeland Street,5,24,23380,1208.734,14.413463223136832,15235.390000003012
Leeland Street,5,48,23380,1211.7310625,14.377813357041902,15235.390000003012
Leeland Street,5,inf,23380,1313.3877083333334,13.264965817034598,15235.390000003012
Lockwood Street,0,6,11508,957.8151180555554,10.892898266284757,0.0
Lockwood Street,0,12,11508,1349.6463125,7.73045689248952,0.0
Lockwood Street,0,24,11508,1459.6072708333336,7.148075271598201,0.0
Lockwood Street,0,48,11508,1460.685951388889,7.1427965942769145,0.0
Lockwood Street,0,inf,11508,1473.7486805555557,7.0794856521640055,0.0
Lockwood Street,1,6,11408,957.8151180555554,10.897149115640785,58.63000000000466
Lockwood Street,1,12,11408,1349.6463125,7.733473629348703,58.63000000000466
Lockwood Street,1,24,11408,1459.6072708333336,7.150864739600409,58.63000000000466
Lockwood Street,1,48,11408,1460.685951388889,7.145584002325789,58.63000000000466
Lockwood Street,1,inf,11408,1473.7486805555557,7.082248353723299,58.63000000000466
Lockwood Street,2,6,11347,957.8151180555554,10.903852015571955,151.0800000000163
Lockwood Street,2,12,11347,1349.6463125,7.738230534049904,151.0800000000163
Lockwood Street,2,24,11347,1459.6072708333336,7.155263278177998,151.0800000000163
Lockwood Street,2,48,11347,1460.685951388889,7.1499792926911026,151.0800000000163
Lockwood Street,2,inf,11347,1473.7486805555557,7.086604685962029,151.0800000000163
Lockwood Street,5,6,11273,957.8151180555554,10.920458821729172,380.13000000003376
Lockwood Street,5,12,11273,1349.6463125,7.750016029147902,380.13000000003376
Lockwood Street,5,24,11273,1459.6072708333336,7.166160901338589,380.13000000003376
Lockwood Street,5,48,11273,1460.685951388889,7.160868868225718,380.13000000003376
Lockwood Street,5,inf,11273,1473.7486805555557,7.097397740578373,380.13000000003376
Market Street,0,6,23775,1248.5658125,13.285682216379453,0.0
Market Street,0,12,23775,1299.5318194444444,12.764634434424295,0.0
Market Street,0,24,23775,1302.7392916666668,12.733206649419932,0.0
Market Street,0,48,23775,1302.7392916666668,12.733206649419932,0.0
Market Street,0,inf,23775,1309.6571875,12.665947065716853,0.0
Market Street,1,6,21397,1248.5658125,13.356723725855398,1277.280000000872
Market Street,1,12,21397,1299.5318194444444,12.83288978506125,1277.280000000872
Market Street,1,24,21397,1302.7392916666668,12.801293948672708,1277.280000000872
Market Street,1,48,21397,1302.7392916666668,12.801293948672708,1277.280000000872
Market Street,1,inf,21397,1309.6571875,12.733674712956645,1277.280000000872
Market Street,2,6,20259,1248.5658125,13.451183771255183,2975.610000001383
Market Street,2,12,20259,1299.5318194444444,12.923645226035207,2975.610000001383
Market Street,2,24,20259,1302.7392916666668,12.891825940827857,2975.610000001383
Market Street,2,48,20259,1302.7392916666668,12.891825940827857,2975.610000001383
Market Street,2,inf,20259,1309.6571875,12.823728495319727,2975.610000001383
Market Street,5,6,18931,1248.5658125,13.697450213947123,7403.320000001899
Market Street,5,12,18931,1299.5318194444444,13.160253407928433,7403.320000001899
Market Street,5,24,18931,1302.7392916666668,13.127851570113798,7403.320000001899
Market Street,5,48,18931,1302.7392916666668,13.127851570113798,7403.320000001899
Market Street,5,inf,18931,1309.6571875,13.058507385586495,7403.320000001899
Polk Street,0,6,16213,963.6857083333333,9.797559488440053,0.0
Polk Street,0,12,16213,1206.1686875,7.82790015476614,0.0
Polk Street,0,24,16213,1371.0627013888889,6.886459711864961,0.0
Polk Street,0,48,16213,1376.7066597222222,6.858227923049625,0.0
Polk Street,0,inf,16213,1410.6415277777778,6.693244080534902,0.0
Polk Street,1,6,15211,963.6857083333333,9.836498532233605,540.3600000001898
Polk Street,1,12,15211,1206.1686875,7.859011060221487,540.3600000001898
Polk Street,1,24,15211,1371.0627013888889,6.9138289926148495,540.3600000001898
Polk Street,1,48,15211,1376.7066597222222,6.885485000463331,540.3600000001898
Polk Street,1,inf,15211,1410.6415277777778,6.719845452507219,540.3600000001898
Polk Street,2,6,14781,963.6857083333333,9.881609626328647,1166.3700000002573
Polk Street,2,12,14781,1206.1686875,7.895053213460249,1166.3700000002573
Polk Street,2,24,14781,1371.0627013888889,6.945536453274842,1166.3700000002573
Polk Street,2,48,14781,1376.7066597222222,6.917062472947878,1166.3700000002573
Polk Street,2,inf,14781,1410.6415277777778,6.750663286670343,1166.3700000002573
Polk Street,5,6,14019,963.6857083333333,10.076130456951587,3865.7500000004075
Polk Street,5,12,14019,1206.1686875,8.050468410676977,3865.7500000004075
Polk Street,5,24,14019,1371.0627013888889,7.082260283814875,3865.7500000004075
Polk Street,5,48,14019,1376.7066597222222,7.05322578930917,3865.7500000004075
Polk Street,5,inf,14019,1410.6415277777778,6.883551012398764,3865.7500000004075
Telephone Road,0,6,2094,131.42394907407393,10.433882459764764,0.0
Telephone Road,0,12,2094,224.22353935185185,6.115602496512248,0.0
Telephone Road,0,24,2094,305.28434490740744,4.491753540303223,0.0
Telephone Road,0,48,2094,346.08606712962967,3.962199485260928,0.0
Telephone Road,0,inf,2094,496.5838518518519,2.761390713619283,0.0
Telephone Road,1,6,2055,131.42394907407393,10.445450902054635,21.89333333333343
Telephone Road,1,12,2055,224.22353935185185,6.122383097580117,21.89333333333343
Telephone Road,1,24,2055,305.28434490740744,4.4967337182774045,21.89333333333343
Telephone Road,1,48,2055,346.08606712962967,3.9665925265150297,21.89333333333343
Telephone Road,1,inf,2055,496.5838518518519,2.764452372520797,21.89333333333343
Telephone Road,2,6,2023,131.42394907407393,10.472490902973359,73.06666666668752
Telephone Road,2,12,2023,224.22353935185185,6.138232029917808,73.06666666668752
Telephone Road,2,24,2023,305.28434490740744,4.508374353517914,73.06666666668752
Telephone Road,2,48,2023,346.08606712962967,3.9768607922478254,73.06666666668752
Telephone Road,2,inf,2023,496.5838518518519,2.771608673899613,73.06666666668752
Telephone Road,5,6,1921,131.42394907407393,10.6440325138043,397.71000000008644
Telephone Road,5,12,1921,224.22353935185185,6.238777565819609,397.71000000008644
Telephone Road,5,24,1921,305.28434490740744,4.582222476757802,397.71000000008644
Telephone Road,5,48,1921,346.08606712962967,4.042002611197405,397.71000000008644
Telephone Road,5,inf,1921,496.5838518518519,2.8170082088258037,397.71000000008644
York Street,0,6,18743,856.4477916666663,9.534981546273661,0.0
York Street,0,12,18743,1241.5073055555554,6.577660761516209,0.0
York Street,0,24,18743,1432.7014097222223,5.6998714690116685,0.0
York Street,0,48,18743,1465.846451388889,5.57098861285983,0.0
York Street,0,inf,18743,1471.890222222222,5.548113416066689,0.0
York Street,1,6,13609,856.4477916666663,9.777181073224893,2987.010000001348
York Street,1,12,13609,1241.5073055555554,6.744740930172382,2987.010000001348
York Street,1,24,13609,1432.7014097222223,5.844654777377584,2987.010000001348
York Street,1,48,13609,1465.846451388889,5.7124981480526555,2987.010000001348
York Street,1,inf,13609,1471.890222222222,5.689041894881447,2987.010000001348
York Street,2,6,12567,856.4477916666663,9.907742154808657,4597.200000001729
York Street,2,12,12567,1241.5073055555554,6.834807858896568,4597.200000001729
York Street,2,24,12567,1432.7014097222223,5.922702268111683,4597.200000001729
York Street,2,48,12567,1465.846451388889,5.788780865041245,4597.200000001729
York Street,2,inf,12567,1471.890222222222,5.765011385208793,4597.200000001729
York Street,5,6,11920,856.4477916666663,10.085401034936634,6788.240000002057
York Street,5,12,11920,1241.5073055555554,6.95736497545537,6788.240000002057
York Street,5,24,11920,1432.7014097222223,6.028904128822547,6788.240000002057
York Street,5,48,11920,1465.846451388889,5.892581338420575,6788.240000002057
York Street,5,inf,11920,1471.890222222222,5.868385640474826,6788.240000002057
