fra,loc,records,first,last,median_min,study
859568M,PARK TERRACE BOULEVARD,730,2024-11-19 17:50:00,2026-08-22 09:11:00,4.62,False
447996V,REED ROAD,730,2024-06-27 14:08:00,2026-09-19 17:56:00,1.42,False
743658M,BLALOCK ROAD,717,2024-10-17 09:40:00,2026-08-06 00:24:00,3.08,False
743653D,CAMPBELL ROAD,649,2024-09-26 19:07:00,2026-08-07 09:25:00,3.22,False
920423P,AIRPORT BOULEVARD,608,2024-07-31 11:43:00,2026-09-15 15:30:00,1.54,False
859567F,PARK PLACE BOULEVARD,493,2024-06-27 14:40:00,2026-09-20 02:38:00,4.17,False
288208L,HOLLY HALL STREET,441,2024-08-22 07:37:00,2026-09-16 16:01:00,2.2,False
023214G,LONG DR,406,2025-06-26 13:53:00,2026-08-10 11:57:00,0.865,False
447983U,PRIVATE,312,2025-07-07 15:20:17,2026-09-19 17:43:13,2.08,False
755630F,CULLEN BOULEVARD,249,2024-06-27 10:52:00,2026-09-17 11:15:00,0.52,False
288209T,I 610 FRONTAGE ROAD WESTBOUND,175,2025-03-25 15:00:00,2026-09-16 18:27:00,2.02,False
023212T,DIXIE DR,144,2026-02-05 12:48:00,2026-08-05 13:09:00,5.585,False
